date,open,close,volume,cap,open_change,volume_change,cap_change
"Dec 09, 2018",92.04,95.14,1875567180,9866414732,-0.01467,0.01067,0.03256
"Dec 08, 2018",93.41,92.16,1855759401,9555327946,0.0192,-0.27348,-0.01198
"Dec 07, 2018",91.65,93.29,2554304530,9671177427,-0.10542,0.10542,0.0169
"Dec 06, 2018",102.45,91.76,2310716932,9510417097,-0.07151,0.16107,-0.10439
"Dec 05, 2018",110.34,102.48,1990157607,10618884099,0.01415,0.13846,-0.07004
"Dec 04, 2018",108.8,110.21,1748116495,11418617063,-0.06513,-0.0139,0.01203
"Dec 03, 2018",116.38,108.93,1772756193,11282911404,-0.01598,-0.04495,-0.06395
"Dec 02, 2018",118.27,116.39,1856199149,12053770487,0.04295,-0.12915,-0.01875
"Dec 01, 2018",113.4,118.64,2131475768,12284117522,-0.03678,0.0548,0.04848
"Nov 30, 2018",117.73,113.17,2020748396,11716096076,-0.04066,-0.07985,-0.037
"Nov 29, 2018",122.72,117.54,2196099151,12166285642,0.11361,-0.17856,-0.03979
"Nov 28, 2018",110.2,122.44,2673470000,12670491119,0.02122,0.15235,0.11318
"Nov 27, 2018",107.91,110.01,2320010000,11382216773,-0.07246,0.08438,0.01565
"Nov 26, 2018",116.34,108.34,2139490000,11206775318,0.02837,-0.13267,-0.06951
"Nov 25, 2018",113.13,116.45,2466750000,12043900588,-0.08248,0.36969,0.02624
"Nov 24, 2018",123.3,113.49,1800960000,11735901799,-0.02468,-0.09862,-0.07932
"Nov 23, 2018",126.42,123.3,1998010000,12747016419,-0.07594,0.11487,-0.02672
"Nov 22, 2018",136.81,126.71,1792150000,13097009562,0.04324,-0.33276,-0.07294
"Nov 21, 2018",131.14,136.7,2685930000,14127420909,-0.11874,-0.14308,0.04902
"Nov 20, 2018",148.81,130.34,3134410000,13467303239,-0.16012,0.1418,-0.1261
"Nov 19, 2018",177.18,149.18,2745160000,15410551811,0.01722,0.51589,-0.15736
"Nov 18, 2018",174.18,177.07,1810920000,18288411984,-0.00673,-0.01194,0.01782
"Nov 17, 2018",175.36,174,1832800000,17968221715,-0.03046,-0.09057,-0.00652
"Nov 16, 2018",180.87,175.18,2015330000,18086156169,-0.00566,-0.23616,-0.03094
"Nov 15, 2018",181.9,180.81,2638410000,18663659629,-0.11926,0.0166,-0.00306
"Nov 14, 2018",206.53,181.4,2595330000,18721032761,-0.01723,0.61175,-0.12278
"Nov 13, 2018",210.15,206.83,1610260000,21341261802,-0.00643,0.1087,-0.01688
"Nov 12, 2018",211.51,210.42,1452380000,21707637540,-0.00457,-0.03278,-0.00417
"Nov 11, 2018",212.48,211.34,1501600000,21798464881,0.01191,0.08989,-0.00542
"Nov 10, 2018",209.98,212.53,1377760000,21917195708,-0.00948,-0.11384,0.01191
"Nov 09, 2018",211.99,210.07,1554750000,21659329261,-0.02457,-0.12115,-0.00997
"Nov 08, 2018",217.33,212.23,1769080000,21877424057,-0.00717,-0.08235,-0.02261
"Nov 07, 2018",218.9,217.18,1927830000,22383497662,0.04502,0.03818,-0.00277
"Nov 06, 2018",209.47,218.45,1856940000,22445690692,0.01144,0.15087,0.042
"Nov 05, 2018",207.1,209.09,1613510000,21540996877,0.03467,-0.07763,0.00793
"Nov 04, 2018",200.16,207.49,1749300000,21371416840,-0.00289,0.33825,0.03667
"Nov 03, 2018",200.74,200.19,1307150000,20615439151,0.00885,-0.09968,-0.00204
"Nov 02, 2018",198.98,200.64,1451870000,20657629735,0.00729,0.08616,0.00906
"Nov 01, 2018",197.54,198.87,1336700000,20472105764,-0.00056,-0.07327,0.00775
"Oct 31, 2018",197.65,197.38,1442380000,20314628127,0.00228,0.05785,-0.00069
"Oct 30, 2018",197.2,197.56,1363500000,20328580026,-0.03885,-0.10132,0.00176
"Oct 29, 2018",205.17,197.25,1517230000,20292811278,0.00323,0.33191,-0.03934
"Oct 28, 2018",204.51,205.37,1139140000,21123907349,0.00565,0.05008,0.00586
"Oct 27, 2018",203.36,204.21,1084810000,21000852987,0.00504,-0.06587,0.00453
"Oct 26, 2018",202.34,203.33,1161310000,20906130835,-0.0075,0.05296,0.00321
"Oct 25, 2018",203.87,202.72,1102900000,20839259066,-0.00127,0.00062,-0.00536
"Oct 24, 2018",204.13,203.85,1102220000,20951603018,0.00054,-0.10931,-0.00217
"Oct 23, 2018",204.02,204.34,1237490000,20997181867,-0.00561,-0.06884,0.00163
"Oct 22, 2018",205.17,204.04,1328980000,20962977292,-0.00107,0.11651,-0.00516
"Oct 21, 2018",205.39,205.14,1190300000,21071630786,0.00919,-0.03914,-0.0012
"Oct 20, 2018",203.52,205.43,1238780000,21097037289,0.00128,-0.02032,0.00856
"Oct 19, 2018",203.26,203.73,1264480000,20917973393,-0.01996,-0.07422,0.00204
"Oct 18, 2018",207.4,203.35,1365860000,20875341345,-0.01341,-0.0542,-0.01782
"Oct 17, 2018",210.22,207.08,1444130000,21254117736,0.00281,-0.05753,-0.01426
"Oct 16, 2018",209.63,210.12,1532280000,21561538445,0.07354,-0.46533,0.00218
"Oct 15, 2018",195.27,209.7,2865830000,21514574462,-0.02213,1.45098,0.07169
"Oct 14, 2018",199.69,195.72,1169260000,20075397007,0.01696,0.00141,-0.02045
"Oct 13, 2018",196.36,199.84,1167610000,20494529773,0.04054,-0.21526,0.01603
"Oct 12, 2018",188.71,196.73,1487900000,20171157774,-0.16356,-0.31358,0.03835
"Oct 11, 2018",225.61,189.5,2167620000,19426181717,-0.00883,0.56615,-0.16048
"Oct 10, 2018",227.62,225.77,1384040000,23139713070,-0.0091,-0.01501,-0.00951
"Oct 09, 2018",229.71,227.98,1405130000,23361891401,0.01413,-0.04461,-0.00536
"Oct 08, 2018",226.51,229.26,1470740000,23487673000,0.00475,0.00018,0.01407
"Oct 07, 2018",225.44,226.12,1470480000,23161767973,-0.00927,-0.02298,0.00464
"Oct 06, 2018",227.55,225.12,1505070000,23054817089,0.02375,-0.02731,-0.0107
"Oct 05, 2018",222.27,227.6,1547330000,23304234601,0.00826,0.04585,0.02443
"Oct 04, 2018",220.45,222.22,1479500000,22748580859,-0.02632,-0.1214,0.00804
"Oct 03, 2018",226.41,220.49,1683930000,22567089086,-0.02029,0.09199,-0.02926
"Oct 02, 2018",231.1,227.18,1542080000,23247403474,-0.00909,-0.03469,-0.01535
"Oct 01, 2018",233.22,230.77,1597500000,23609728018,0.00817,-0.09519,-0.00874
"Sep 30, 2018",231.33,232.85,1765560000,23817805502,0.04339,-0.20064,0.00544
"Sep 29, 2018",221.71,231.64,2208720000,23688983896,-0.032,0.09444,0.04172
"Sep 28, 2018",229.04,222.4,2018120000,22740233568,0.06313,-0.00601,-0.02647
"Sep 27, 2018",215.44,228.49,2030320000,23358464739,-0.01468,0.15615,0.0588
"Sep 26, 2018",218.65,215.85,1756100000,22061164303,-0.04239,-0.17179,-0.01197
"Sep 25, 2018",228.33,218.51,2120360000,22328327983,-0.06743,0.21251,-0.04451
"Sep 24, 2018",244.84,228.73,1748740000,23368514475,0.01598,0.03264,-0.06366
"Sep 23, 2018",240.99,244.33,1693470000,24957339670,-0.02567,-0.11882,0.01621
"Sep 22, 2018",247.34,240.48,1921820000,24559189741,0.09807,-0.3224,-0.02456
"Sep 21, 2018",225.25,246.58,2836200000,25177561991,0.07114,0.59152,0.09815
"Sep 20, 2018",210.29,224.59,1782070000,22927300808,0.00391,0.02812,0.06985
"Sep 19, 2018",209.47,209.97,1733330000,21430323331,0.06276,-0.03738,0.00017
